Prime,Collisions,Time [mc s]
2,29996355,448721
3,13336089,496063
5,7999213,493405
7,5713311,438478
11,3636563,388044
13,3076919,373959
17,2352538,355742
19,2104717,349632
23,1739018,340584
29,1377868,331051
31,1290581,329523
37,1081444,323664
41,976083,321070
43,930547,319907
47,850278,318991
53,755437,317166
59,678293,313444
61,655854,312941
67,597980,311011
71,563606,309945
73,547852,329360
79,506393,309177
83,481313,308679
89,450085,372489
97,412932,306221
101,396747,305804
103,388490,306053
107,373538,305470
109,366945,305735
113,354372,304594
127,316647,332793
131,304905,303867
137,292437,303271
139,288457,302983
149,268035,302891
151,265371,302325
157,255835,302372
163,245970,302036
167,239958,302309
173,230546,301905
179,222970,301447
181,219475,302039
191,209199,301558
193,207634,301541
197,203630,301837
199,200842,399837
211,189357,300666
223,179552,300852
227,175698,300334
229,174462,301472
233,171491,300413
239,167333,299905
241,165783,300680
251,159409,300022
257,155700,299661
263,151856,300047
269,149630,304123
271,147536,324067
277,144713,300018
281,142096,299852
283,141492,299548
293,136115,307365
307,130207,299673
311,128895,299043
313,127922,299451
317,125529,299460
331,120564,299061
337,118511,323483
347,115324,422904
349,114999,298736
353,113856,299346
359,111997,298899
367,108155,298492
373,107021,298654
379,105673,298309
383,103971,298914
389,102674,298354
397,99990,298912
401,100142,298419
409,97672,298298
419,96013,298417
421,94861,297918
431,92569,297966
433,92379,298241
439,90598,298167
443,90384,298176
449,89354,297914
457,87539,298601
461,86663,298361
463,86061,299312
467,85268,298382
479,83857,297909
487,82258,298132
491,81361,297788
499,80220,298507
503,79540,298002
509,78934,298151
521,76646,298031
523,76698,297797
541,73791,297823
547,73069,298663
557,72227,298695
563,71303,297687
569,70421,297603
571,69927,297291
577,69097,297904
587,68249,297501
593,67128,298039
599,66319,297143
601,66638,297696
607,66080,298432
613,65187,297550
617,64370,297534
619,64612,387872
631,63804,297537
641,62386,298678
643,61934,297279
647,62013,297483
653,61421,297865
659,60529,297331
661,60444,297175
673,59527,297257
677,58749,297311
683,58362,297801
691,57559,358454
701,56902,297670
709,56434,297233
719,55791,297305
727,55379,297442
733,54561,297302
739,53634,297360
743,53815,297150
751,53577,297236
757,53140,297065
761,52404,297050
769,52090,297385
773,51730,297159
787,50747,296931
797,49952,297288
809,49852,296919
811,49458,297811
821,48624,297141
823,48477,296844
827,47825,296845
829,48105,297119
839,47537,297128
853,46693,297025
857,46631,296715
859,46562,296844
863,46405,296832
877,45331,297172
881,45577,297239
883,44996,296813
887,45289,296845
907,44385,296902
911,43824,297512
919,43627,296665
929,43435,297202
937,42437,296849
941,42649,296858
947,42615,296948
953,42361,297199
967,41224,296888
971,41110,296903
977,41151,297063
983,40524,297080
991,40275,296755
997,40106,296998
1009,39579,297126
1013,39503,296912
1019,39350,296895
1021,39502,296983
1031,38625,297030
1033,38741,297176
1039,38334,297040
1049,38058,297084
1051,38057,296984
1061,37741,297217
1063,37971,296813
1069,37283,297063
1087,36799,297027
1091,36794,297066
1093,37053,297430
1097,36690,296692
1103,36619,296622
1109,36243,297068
1117,35969,296652
